,y_test,prediction
2488,3142.5759999999996,3161.7219443480826
3812,2972.1312,2564.06874962551
916,895.5010000000001,971.806929228288
2539,5259.82,3276.3705727093256
541,231.6984,1245.3952225461012
7275,2922.1962,2013.6637692525208
6192,922.7988,2527.8897320227607
5373,3819.0288,2613.903790256719
1657,75.9012,340.5615214016291
273,5829.7448,4170.917978004356
7086,392.82199999999995,1257.6893011610214
2337,61.2536,-728.4543363694031
2607,3542.0559999999996,3037.565292956177
3299,5396.9748,4122.506809155295
2631,1510.0344,4079.579895286016
3776,4349.0056,3139.470897777937
4153,225.7062,1702.2431932996788
4557,2162.5184,1142.6432827783024
5378,1065.28,3386.6218353254585
6000,7393.0432,4999.739085019168
7564,802.9548,859.6016554430147
1035,2190.482,2480.9688166422643
8440,2960.1468,2441.6629852924957
6539,3281.0624,3807.566838963217
3434,3778.415,2515.5002353340287
5233,3751.783,1695.321753456628
4061,428.7752,-117.60393811879771
44,373.5138,2042.0538412493925
5022,120.5098,51.476151205998576
5085,2916.204,3888.6760334938544
3007,3439.5228,2782.4780562711476
7336,1830.95,2329.0830530594485
2434,2006.7212,1489.4403866636317
2580,3629.2758,2577.6701700382814
4559,351.5424,952.547979086095
5615,2375.5744,2340.512070345235
7019,2466.7889999999998,2234.3609294535863
4574,2303.6679999999997,1849.078631703501
4589,1543.3244,2171.973941611839
7801,2432.8332,2621.1093206968776
8255,2696.49,1610.360422090636
7646,790.9704,645.9323302435473
6132,5438.9202,3781.0353811343434
5663,1174.4712,1537.1151336615953
3637,1166.4816,814.4202831280804
2966,143.8128,470.1053435467254
6577,761.6752,1722.3662086104935
6261,4288.4178,4969.840903942473
4083,1216.4166,4133.050405008587
4415,5219.872,2977.7296254549988
2643,5976.2208,3644.445429663663
1132,1901.5248,2372.585176183322
5686,856.8846,1492.1290580944237
7491,3175.866,2856.4375487383168
938,89.2172,-362.48952880078764
7453,509.337,1051.5628603287428
6510,3251.1014,2574.547832615351
234,605.878,706.2037043603331
722,1780.3492,2069.421706188482
187,778.9860000000001,2273.9613108927233
3526,473.3838,1603.5799738581804
4699,6831.108,3712.846375960002
2793,1837.608,1212.6593581855805
6198,3214.4824,3007.606797053851
2650,2524.0478,2412.4949174172493
7761,1403.5064,1365.365801003672
3112,886.8456,1566.3724375019679
635,5087.3778,4523.946432961069
7677,2045.3376,4019.2724021559325
4413,3900.9222,2405.3820993225204
4937,3658.571,1589.334252884717
5645,2077.2960000000003,2589.8228208722758
1034,75.9012,-1140.648374032028
3326,3478.805,2873.9048624941397
1103,5350.3688,2564.5297958743436
6440,1113.2176,951.3921238697902
2578,2648.5524,2362.062574609425
394,3259.7568,2998.0335738365848
4994,2292.3494,3305.54873913881
787,129.1652,-833.8572491043124
2152,2348.9424,2038.6430183822129
5105,1230.3984,1724.3395282347183
3379,727.0536,953.877771637216
4800,488.6972,1856.216128571542
5276,2055.3246,1597.7772951567447
6608,691.1004,1845.9176514242308
7114,3174.5344,3158.5114461341595
6423,569.259,2650.980768979537
5840,1446.1176,1634.459019034007
3766,5267.8096,3626.03967152225
5575,885.5139999999999,1496.9239844746053
3779,3563.3616,2064.803188601725
5977,8474.3024,5066.80676102984
7052,3675.216,3585.713338754779
1082,1584.604,1700.8079017951382
7917,743.0328,1390.7777790114642
5836,3271.7412,3689.983498556976
3976,1592.5936,2499.4855236942285
1783,2364.9216,2292.3304661952116
1414,3420.8804,5126.7889290034655
3724,5000.8238,4152.2087905170265
5605,1607.9070000000002,3322.794368695111
2509,2960.1468,2303.919875345351
2067,1518.024,2348.070213332696
2774,1419.4856,1750.2867551068196
6630,173.108,-494.8714182079257
1817,4410.2592,3011.9537051832262
3805,2182.4924,3091.465121868867
2081,392.82199999999995,1208.977469044789
7551,3229.7958,4163.191702857233
5173,2302.3364,2891.472157851551
3714,5299.768,4121.86691548928
692,4974.1918,4008.605397328625
1235,3235.788,2579.5643075194503
5770,2388.2246,2325.923590799336
642,3246.4408,2319.3197472296106
7419,2444.8176,2171.7880063491302
3315,2956.152,3017.605407966071
3679,2695.1584,2127.028488168315
38,388.1614,2109.6347955623714
7813,109.1912,-960.2839676122167
5155,354.2056,1113.9427502060544
8405,124.5046,139.676373235377
1180,2190.482,2471.8365216062475
1022,352.874,933.4878235744036
7538,1817.634,2415.460559103334
8284,197.0768,-249.6193953750817
7975,922.7988,1401.3544920912266
1332,1957.4520000000002,2285.9292737959786
5873,2422.1804,2124.988976473679
2189,5243.8408,3637.0191539716025
1386,3691.1952,2791.0161500449813
147,1597.92,2665.409162192606
8244,3964.8390000000004,4305.173511752782
7158,5592.72,3482.516934098791
4520,2302.3364,1959.9710740611638
3769,3567.3564,4513.431272911617
5470,1791.6678,1034.8619874394724
7898,790.9704,2332.900217578149
8441,777.6544,1576.0840868203745
4919,341.5554,1809.9353678798045
196,992.7078,808.6472829267489
5367,2596.62,2708.842580378989
1456,351.5424,1441.406864358335
277,450.0808,1842.6705118938444
1830,1468.089,720.8546837942968
2172,697.7584,962.3275934416765
3266,5752.512,3347.3638459968815
1379,5816.4288,5240.565375502421
4844,102.5332,-93.44946323653949
6799,459.402,3620.705878920932
7782,2345.6134,2941.8523266252573
2843,2796.36,3719.122369593025
1283,1581.275,1069.5163720457217
3375,352.874,848.6601643051913
5739,2087.283,2639.2956124937923
5937,312.926,574.5730641749956
3180,1524.0162,1639.1978466305745
7671,1078.596,508.74153128875514
8210,3435.528,3331.676091835596
2417,3731.809,3114.837637581411
7299,3352.303,2870.10773819439
958,1973.4312,2615.697674972013
6956,2125.2336,1590.0008642557398
3740,91.8804,-941.5228531924167
3079,497.3526,1134.863967142764
5167,683.1108,1904.6088685824395
839,2857.6136,1563.7097431021423
39,2180.495,2871.547843265726
7852,1342.2528,1621.53200675328
4881,2792.3652,2462.132570866615
6258,2512.7292,2670.7443909498816
7427,884.1824,1599.4776461392048
3603,330.2368,829.2828427832487
7648,1070.6064,1429.3368610284733
462,1787.6729999999998,1900.870953673033
4065,1845.5976,2765.26249245151
982,384.8324,1221.2547900962427
6296,247.6776,211.74062117576636
641,6611.394,3143.6454608690738
454,2683.1740000000004,1439.3790909160014
20,3775.086,3956.8058766032873
8401,1395.5168,1511.6341185990814
8283,1845.5976,1549.3859829005146
3639,390.1588,1376.745304103969
244,3225.1352,3598.7808862297175
2984,1257.0304,2497.1617886207505
6154,3874.9559999999997,3106.8869798673118
3978,882.8508,879.9465415600222
4609,1049.9666,555.1521159331958
6039,1757.7120000000002,2374.543884979988
882,300.9416,701.8325115874504
3443,1150.5024,866.7546362417999
7632,41.9454,-1127.969671402126
4967,3146.5708,2985.041681095111
3634,1601.249,2088.9711338387046
4060,5609.365,4916.041715504451
651,229.701,-994.1909685680234
1852,874.8612,532.4280243938654
162,3315.684,3189.543481682112
7043,992.7078,2402.8280172455075
4240,1518.024,3011.9778775591712
6163,1957.4520000000002,2268.1891901340837
5863,2387.5588,3018.601761001887
304,7696.648,3403.044596384867
4853,2852.2872,3253.4142891915435
7311,1494.0552,1511.9424299500017
7398,1494.0552,1434.8277204390017
6866,647.8234,1467.2223281011059
6943,325.5762,1815.0190525050714
1085,5173.266,4223.340852386258
7496,2868.2664,3800.289971691771
5165,2954.1546,2750.505709331818
2457,5099.3622,3417.0606893719278
8008,2743.7618,3441.4659316524576
2813,113.186,183.1327728772776
2214,2936.178,3076.894631131983
1168,2519.3872,1859.0259255874041
8070,868.8689999999999,1733.5810172507968
6148,2740.4328,3069.9419893701606
8253,2896.8958,2407.7652944907154
6913,325.5762,1819.5432081783808
6340,3123.9336,3085.647166420847
8003,1342.2528,3046.174377917714
1261,2681.8424,2308.878411870159
296,583.2408,752.9242496842301
229,3101.2964,4290.0633676106045
2241,856.8846,1087.3055695603061
4407,587.2356,1693.6442025308602
221,1416.8224,1451.8676031559357
6982,5073.396,4030.0028873996453
6688,5888.3352,4524.312082937657
1411,928.791,1083.2745760623154
2549,6381.693,2300.2205836697804
4123,4082.6856,2366.6878152569257
5435,2127.231,2468.1408372679384
2076,2516.724,2111.7548646234454
7886,1857.582,1667.671308935639
3840,1559.9694,2393.8737040580886
4068,1761.7068,1590.0801318224444
5972,549.285,1089.1652078618317
7176,2037.348,2677.34061020573
1091,2503.408,2550.7660745125786
7138,652.484,1084.1701492403222
8141,452.744,735.452441769794
2250,458.0704,1753.1039213373058
4977,2446.815,2525.871854911706
5518,2463.46,1306.4799151260809
6481,2716.4640000000004,2241.855926571233
6605,1125.202,2406.781195611167
4328,5690.5926,2766.0699054841216
8153,1719.7614,2987.1869757367735
6289,2247.075,3116.944766046678
2676,4134.6179999999995,3097.576945139593
4582,3495.45,3848.915212938625
5399,2802.3522,1924.6398881261887
8412,2203.798,3488.9507747792227
5599,429.441,373.78851746356577
4076,2450.144,2674.86566324312
6436,3506.7686,2273.5535490616558
3636,6338.416,2918.545737308869
841,178.4344,-417.10693617622064
3528,3872.9586,2905.7871861274375
1547,829.5868,570.4470075280976
6724,1454.1072,1980.6379632974215
6853,3098.6332,1981.1208369624646
8046,392.82199999999995,3140.647037846538
1029,1198.44,999.2265013792371
7766,1707.777,1918.7183029859148
6670,264.9884,2279.0546479869563
8148,3142.5759999999996,3084.560125528666
7355,80.5618,-555.7706546006801
4900,3439.5228,2511.0358030657458
6428,1808.9786,2546.3795965169893
5498,309.597,1422.2842083201554
7533,2572.6512,2969.3602923912335
7994,3593.3226,2679.112893318611
3910,1621.8888,3439.8625578253373
2568,659.1419999999999,531.5913018839988
2644,884.1824,931.9269569857626
733,1807.6470000000002,1939.729481435219
4105,5522.811,5518.364685507317
5694,1435.4648,2106.4909598439817
6512,2841.6344,1906.967132856934
6590,3691.1952,2412.9380504727383
5558,6624.71,4306.338748824182
1750,5956.9126,4118.110485700038
836,145.8102,-1056.6731252221725
2528,6503.5344,3808.1555418381854
4831,858.882,2274.085080544979
5006,1701.7848,2235.9827337334928
7489,614.5334,812.8831626530964
2866,250.3408,235.02202896003155
7154,3835.008,3431.3165393683757
683,1488.0629999999999,1595.6881490494945
499,1298.31,2044.0100230064818
388,717.7324,2393.178891329848
6101,2999.429,2811.6607940762096
3311,1346.2476,3529.7191295910766
6380,3755.112,3092.153280946902
8404,153.134,-576.5639985509348
119,1141.847,3281.267644479375
158,1701.7848,2163.967301629217
6968,755.0172,1411.2283881188775
3986,4250.4672,1723.04241163979
5962,1641.1970000000001,1654.4440480437079
6693,1957.4520000000002,2210.87488521439
1044,6048.793000000001,4182.375870120857
3964,2077.2960000000003,1904.6055609928014
6059,3704.5112,3651.996653475635
4301,3295.71,1634.4904060586584
7733,467.3916,528.3034261768296
7868,2542.0244,1754.6579906891116
6837,4165.2448,4047.770809588514
3975,892.8378,1587.0488397691408
6099,567.2616,431.205066523356
7276,1537.9979999999998,1674.1569857057375
1422,852.2239999999999,1484.5830707881978
4561,2183.824,1756.1755833108475
6183,3509.4318,2575.5314363582693
1644,153.7998,588.0752052099729
2480,782.9808,1281.3949007967335
2877,3165.8790000000004,3339.9391929832764
2491,109.1912,-89.50020825223191
1831,1733.7432,2341.670640345027
6464,2195.8084,1972.3681946284848
6141,4460.86,2796.5217902387403
7016,8062.838000000001,5018.992702691399
1240,3415.554,3284.4955576533216
2542,1211.756,1483.5333816849013
4225,233.03,1840.3603827485676
6372,2846.295,2483.8585495184147
4220,1571.2879999999998,2618.1571594655165
4418,2530.7058,1918.6195626748488
7542,785.6439999999999,1276.190984187709
7198,3981.4840000000004,2478.318030718418
2041,633.8416,767.4575821764863
2223,188.4214,1150.3194603618927
3852,1073.2696,1222.5955371433274
1142,3747.1224,4288.8338902129635
5139,988.0472,1976.5383317407745
7833,4482.1656,3448.5535399754217
6673,1006.6896,4129.414063445642
532,95.8752,-1069.9015247238096
3222,852.2239999999999,1320.240318628954
3581,1006.6896,1740.4848974718716
6043,677.1186,3266.32560659351
7004,870.8664,2371.4403684644053
4013,4857.6768,3880.7149018647538
422,3415.554,3722.5154065290726
7899,377.5086,611.5958351418658
1373,5426.27,3338.0132689997613
22,1587.2672,3061.348128609962
495,2336.958,2923.269271332899
4781,2784.3756,2596.6556601298216
4270,2360.9268,2110.339130957166
7680,419.454,1368.4194743487974
1718,563.9326,927.912835473548
1683,990.7104,2655.3003387528734
6415,126.50200000000001,-819.1302066379305
6079,341.5554,650.0977801874506
3744,4334.358,2397.4318597672495
2388,1004.0264,3590.552334626871
6024,171.1106,826.2223739710389
6619,2316.984,2790.0740532750397
8487,4111.315,3927.129843183316
144,905.488,905.8536326837387
3972,1895.5326,2270.1342890864753
574,37.9506,-995.3110347319396
4018,3392.9168,2172.666494862987
6526,2145.2076,5261.155664900965
4873,4302.3996,5250.1281826823215
5968,4996.829000000001,4112.865673032912
3706,4452.8704,5367.22806962227
3648,3257.7594,2508.922787126199
3239,3693.8584,3092.2183341740597
1066,2633.9048,1914.038947635431
167,1743.0644,1736.6650465768926
5318,540.6296,595.0037321959876
1869,1518.024,1628.5335945510617
1666,512.6659999999999,558.3548753770274
8265,4026.7584,2582.217729430756
526,283.6308,2071.2916279766214
2931,196.41099999999997,1206.719660791483
1112,1544.656,2681.911637133549
8004,2446.1492,3620.7689981806875
4872,2940.1728,2957.2840291262823
6711,3563.3616,2356.9904837669014
2632,1629.8784,1722.3987134894562
987,5061.4116,3705.5945674749237
6561,1030.6584,2786.9080834301462
1122,1125.202,1549.8483283983985
989,5518.1504,4167.804089020543
776,857.5504,1561.3846896954622
274,2082.6224,1488.5640587302637
7376,2399.5432,2285.1394659698913
8368,1800.3232,1853.5657651333072
33,2174.5028,1564.244678658709
5379,926.7936,607.9608644839109
5253,5645.984,2511.550104759888
1478,4211.185,4167.091471804115
6376,2651.2156,1926.4145383933817
2328,1120.5414,1143.932339586263
8327,3012.0792,2696.951494739779
8101,2189.1504,2882.9602654061914
8192,2908.2144,1866.7844979108138
3664,1318.2839999999999,1481.1199996028754
3849,1525.3478,895.1494304389553
2270,695.0952,1853.7716780202672
6757,2807.0128,2648.353921148965
1656,3455.502,1926.864259666705
4364,1411.496,2876.2239074403547
152,2768.3964,2826.5488366826767
4902,2290.3520000000003,2206.9945406892507
8193,2656.542,2090.887499215146
7588,1845.5976,1617.517792704708
7484,671.1264,3649.3456827404407
487,75.2354,-649.8507956899126
5476,193.7478,-801.0438126775712
2420,998.7,3915.3761288246737
2894,1384.1982,3185.585895339033
3583,5660.6316,3156.3327947627836
1070,952.7598,794.2668224606521
134,952.0939999999999,2674.716939805559
7575,641.8312,3919.350959821382
1454,107.8596,-832.6542864081816
5871,129.83100000000002,366.4960688180097
5864,1201.769,1106.2201468287974
4512,383.5008,917.212412996211
3053,34.6216,-1123.3809509366029
7286,1102.5648,996.1121500307977
5397,61.9194,-760.9283804885013
6970,1416.8224,1084.474771118793
2560,1609.9044,2217.1320227295573
2026,3425.5409999999997,3665.7033221291013
6578,1418.154,1515.916305319175
3069,1736.4064,3298.406945279095
318,3877.6192,2304.47436583582
4189,3238.4512,2824.4073517026786
5306,1054.6272,1453.5506453312494
3391,2376.906,1896.5328565445702
1121,593.2278,1091.171711962233
6576,1034.6532,778.2147257880856
2899,2709.1402,3239.9964986247746
7082,2801.6864,2832.909487472858
5268,1323.6104,3297.723373636266
4323,978.7260000000001,701.1075687124562
6096,1747.725,1926.9811188316608
1643,1198.44,2377.0883822131136
6614,406.13800000000003,754.2591611648961
2134,490.0288,1949.3277099250788
1382,639.168,673.9319127563276
5061,402.809,1219.569284557065
6124,1062.6168,1536.8459535154202
5455,982.7208,2003.637298355156
4425,998.7,1650.5732074901377
4355,4327.7,3432.555519682805
509,95.8752,-438.42513515308406
3671,2036.6822,1945.4284731211096
6900,4314.384,3128.6805244809925
3286,8138.7392,5508.864489401592
7951,4218.5088,4141.882340018468
7245,517.3266,975.6896926189634
2453,1325.6078,1851.1365738031895
6906,6454.931,4331.16168974504
971,615.1992,999.3558239916799
313,1677.816,2482.895797007949
7871,1677.816,2221.1305024940693
3202,539.298,554.0983396704785
5759,784.9782,2242.963363183366
5583,3520.0846,3332.7652398081095
4858,1607.2412,1408.7707214975069
7248,1289.6546,1662.3700826476797
7802,1444.1202,2568.5724923440494
8220,2621.9204,2046.1748673783313
558,2876.256,3101.9521816384035
4904,4673.916,2514.2229312878258
276,7452.9652,4034.093382372925
1540,716.4008,1036.9785128160706
7511,3111.9492,2660.1868995100313
3474,755.0172,25.207604804191078
4139,394.1536,551.2156983303005
1984,4086.0146,3758.667191818419
2285,3202.498,2094.550769640185
2615,7201.2928,5009.848575071219
3891,1358.2320000000002,1509.2112963311417
7784,2681.8424,2180.2099795944496
6444,3844.995,3801.988650734725
6308,691.1004,1814.372624976067
1942,3105.9570000000003,3142.7000456314277
2569,4402.2696,2464.165708735669
1977,2713.135,3188.5261467016803
1220,2884.2456,2299.5923478762434
5601,3113.2808,3577.2786004276095
8499,2976.1259999999997,1737.7682178305472
3182,1142.5128,1430.4876257333033
2381,4374.306,3862.886360134755
2585,4225.1668,3138.3983428990764
6390,4434.228,3498.9514359641435
4887,1749.7224,1856.758712534664
8066,4171.9028,2650.085436062943
286,296.9468,542.9214389211147
994,2982.784,2636.010629698242
2586,139.81799999999998,-1171.2233690280098
4753,3793.7284,2724.9746703875003
1952,554.6114,1387.6901882701889
7984,1245.046,1691.4447402648802
7356,974.0654,1468.9213339966484
5904,517.9924,4022.3714299425083
72,4604.6728,2531.8113784450375
519,5344.3766,5046.330806826067
5081,1342.2528,1588.118627998687
4978,1784.344,2824.685865676674
7150,4407.596,3440.1985607064953
548,2094.6068,1736.4052033712273
2888,2167.179,1736.5789467121656
7428,1845.5976,1654.9116362499983
1892,1583.9382,2051.8863605654233
8007,262.3252,2139.054118533102
6702,1179.1318,846.7137561231783
5356,1158.492,3127.1384481728187
1955,1514.695,1573.133515887606
5362,1006.6896,1754.8529193375193
7667,2253.0672,2086.536438790513
2190,934.7832,521.3755065697505
5564,751.0224,1049.1083405549475
3711,1619.2256,1649.3306589974802
1675,2007.3870000000002,2348.054837640772
6257,1342.2528,2185.299739100936
842,1470.0864,1031.623183878059
247,974.7312,2665.122646556952
8025,207.7296,-1051.663769622701
8516,858.882,649.237860307021
4110,2621.9204,1648.9239150357785
3573,1518.024,2391.7273976329407
2217,2428.8384,2309.696967784181
7779,1258.362,1404.8002034956264
4339,1114.5492,1944.6165175409517
5553,2456.802,3867.8397209341415
6285,2902.888,2303.862563605189
5335,339.55800000000005,683.8666381725648
3993,529.9768,2241.473621468546
3485,666.4658,855.5979545429816
3996,110.5228,-74.36724574669188
2565,3844.995,3107.2059865017186
4999,2324.9736,3819.965870040122
6934,2616.594,4254.39486847533
4770,253.00400000000002,127.38582199154962
3083,7534.1928,2951.421278917342
725,918.804,2159.371984560479
2682,3531.4032,2340.936938793536
7922,801.6232,2460.708455301961
1741,614.5334,844.3811663247906
6721,1573.9512,2152.387979447338
6897,3261.7542,2360.053271541803
779,597.2226,819.5458912731682
50,3134.5864,2415.9136346090804
4696,2534.0348,3595.789763094071
7639,123.17299999999999,195.80483721612632
7978,3350.3056,2950.7364520578785
406,5770.4886,3408.4642078633083
4234,3379.6008,3022.432029062313
5514,3880.2824,2073.0760593564587
4034,107.8596,145.7614178043748
6652,715.0692,1937.6241129287168
2655,2066.6432,2089.658393841507
2141,5294.4416,4490.717492657441
6291,441.4254,1980.6743047005834
6519,2504.7396,2165.8014564768637
2617,1522.0188,2312.127259087837
6784,610.5386,1410.7764323533204
3465,1518.024,2876.3449338446558
156,262.3252,1825.8628775259338
8502,3020.0688,3388.369158917039
2795,308.9312,633.2384450400846
6627,343.5528,883.3893821894403
6518,2259.0594,3915.372673195476
578,4655.2736,3878.1634964008717
4302,3338.987,3099.6736859495236
8096,1163.8184,1081.1503996744336
2948,3868.9638,3084.929402023267
4004,4327.7,4221.918716304681
2872,796.9626,784.10486840308
2653,4195.8716,2930.763591185694
8111,363.5268,1295.2763104308142
1308,343.5528,1948.764854646435
317,452.744,1820.587726840247
5587,1231.73,703.9696303396565
5817,596.5568,517.1206574624176
7573,3435.528,2323.9195957207808
2958,3350.3056,2978.5105249968587
1812,1597.92,1652.6110364588546
7785,3146.5708,2798.725325511419
2531,2087.9488,2349.5325807699023
4627,4727.18,3128.9157785885623
7289,1651.184,1748.6888785591445
4957,298.2784,-710.2603482498963
6418,185.0924,-408.92055124326157
188,2336.958,2900.7190233139922
2004,4777.7808,3207.7908692819315
4235,494.0236,605.4459727741018
5129,3427.5384,2525.5937570324054
217,260.9936,2254.4034745050517
2405,2109.2544,1809.4069805963718
5168,282.2992,762.0167860393722
3753,3998.7948,3476.7178889671545
1978,447.4176,936.964323224592
4226,476.04699999999997,1531.1368539475914
5992,3243.7776,3862.501528323171
6005,1693.7952,1790.9019402282597
2767,185.7582,1873.6697361855918
2760,2588.6304,2311.7701030774633
4160,1938.8096,2331.09508416907
4338,5704.5744,4638.373198892732
1334,4098.6648,1786.9980682601429
1597,1893.5352,2828.872498658498
7482,3467.4864,1499.459690040336
8335,708.4112,867.7800880680031
1833,1985.4156,2311.1335300291134
7970,2157.192,2830.2254488225135
1514,3368.948,3761.5446539911486
2887,6359.7216,3877.6643269050546
2423,1225.072,1039.8935087700102
6035,88.5514,-440.88562475320145
7301,3728.48,2915.885522465813
1063,568.5932,434.18850467780464
4912,4853.682,2923.1314836598644
1172,2251.7356,1927.5001138412917
8105,1155.8288,1430.7261092088056
2929,4604.6728,3795.1599721088833
7323,1188.453,3710.138916264585
1972,1120.5414,1137.701292285204
1768,1398.18,1601.7203881686216
122,186.424,-325.114693529408
4488,1406.1696,1378.9570482299325
1529,3749.7856,2620.2772137387265
1621,3755.112,3033.3482531240543
7278,326.242,719.4549183606632
4942,2221.1088,2861.081395790218
1928,1897.53,1981.99344511661
2890,2846.295,2738.7936059720287
1087,1522.0188,3956.270424338184
5036,4094.67,2546.9983250123964
8437,2596.62,1649.0373472429208
6129,1693.7952,2192.312023900728
294,5499.508000000001,4521.316458145284
7132,2449.4782,3166.2807273307685
6197,2526.7110000000002,3272.8083549823846
7870,1480.0734,2680.30311544853
5439,1581.9408,1080.298546302337
8438,3034.0506,2232.5673312264807
1642,211.7244,-52.620632756002124
1234,872.198,1290.0653548546152
1185,822.263,639.5551314195109
3046,295.6152,454.75258478609317
384,3523.4136,2147.704875367808
3756,5552.1062,2555.466091736959
7476,1494.0552,1410.8760448232274
2663,102.5332,-168.9604397244659
4982,3367.6164,2960.3285785621115
4987,455.4072,498.93571306235754
684,5159.2842,3054.24430414037
8022,5812.434,3027.215312278777
4085,2120.573,2640.442724174742
7110,2644.5576,3529.51045055177
1533,1943.4702,1456.2720218864347
451,1816.3024,1397.1268099015372
4237,1404.1722,1232.2746854497443
2640,1288.9888,2400.197559200738
1376,1151.1682,2435.7794388618263
1914,515.3292,-374.4256417433594
5866,6636.6944,3695.203774168982
2980,3101.2964,2850.0685708480446
1490,486.034,1973.870692540273
4629,447.4176,2048.602769115286
5777,335.5632,860.2847049996928
4030,1318.2839999999999,1825.8687453739067
1811,468.7232,861.0384372866724
2038,1470.0864,2966.3278756145864
6159,697.0926,1834.2928642267548
5313,750.3566,1726.7213805721085
6134,8217.3036,5463.409836678884
1536,2320.9788,2559.114068718865
2604,3956.8494,3027.1224574320477
5598,1882.2166,2693.8381702296983
396,3707.1744,3733.135066613544
8376,3717.8272,3632.8664275998517
6157,583.2408,1489.5711574569548
14,1977.4260000000002,3108.1024842302204
5546,1980.755,3287.0058984822786
1900,4566.0564,3910.0326926407306
2475,361.5294,76.82080890903171
7343,8209.314,4325.154059931094
6939,886.8456,1194.5088926069593
7658,826.2578,2223.789917264956
4092,647.1576,2325.5007182271584
4857,722.393,1390.8420429695925
5603,169.77900000000002,897.7477994391934
4178,653.1498,3466.9350317806366
7160,1318.2839999999999,1421.4528159713116
8407,575.2512,2281.0595364370656
6752,882.8508,2414.5958354467084
4716,3182.5240000000003,2616.731377211028
90,369.519,167.56171593846784
5421,2149.2024,2774.9276678061824
5326,3950.1914,3711.904186490028
5632,2852.2872,2462.760065102731
